Year,Prior,Posterior
2020,12.2203739999973,12.2203739999973
2021,12.4004032297736,12.2214894643576
2022,12.4731985875548,12.0619410995533
2023,12.5110215834692,11.9579940814074
2024,12.5413153226929,11.871095202586
2025,12.5626585959451,11.7933734694275
2026,12.5726232816703,11.7165905439419
2027,12.570792058468,11.6381200170904
2028,12.5578097634777,11.5572992727425
2029,12.5349559902472,11.4741955559011
2030,12.5033571805384,11.3891404949345
2031,12.2741102740388,10.5297810129098
2032,11.6879346959308,9.14328569183492
2033,10.9854604478409,8.12752022866851
2034,10.2876662174104,7.24636624840422
2035,9.61467773151318,6.39356981877023
2036,8.94443924869922,5.54221821646962
2037,8.26198509574862,4.6837368057005
2038,7.56044542036558,3.81598039494481
2039,6.83780199449229,2.93917732632357
2040,6.09407133867458,2.05446105343455
2041,5.31756621883407,1.16041539129553
2042,4.52651878841908,0.265791156117208
2043,3.73682497775236,0.000263368841510675
2044,3.05080492349206,0.000297272977654189
2045,2.54925790258279,0.000339176335885049
2046,2.18542253613001,0.000392988241158771
2047,1.91462026802961,0.000452131974493361
2048,1.70698488925243,0.00051784009217504
2049,1.54202165284862,0.000494551938615952
2050,1.40746666371697,0.000482584742687246
2051,1.29387295033491,0.000474467544746362
2052,1.19690261158998,0.000501464553495737
2053,1.11428146924892,0.000567936413367781
2054,1.04333297504315,0.000679282054236223
2055,0.981082807670046,0.000798062226554724
2056,0.925872178044036,0.000897809165873963
2057,0.877409272824212,0.00100077996235353
2058,0.833945668787395,0.00107404915886623
2059,0.794828799858696,0.00107933768911379
2060,0.759334769168302,0.0011507069071395
2061,0.726706945959856,0.00122203340418527
2062,0.697088766732892,0.00134587206363777
2063,0.670313077617435,0.00157285595637829
2064,0.646535620148519,0.0018252994887195
2065,0.625265409877969,0.00215512175270727
2066,0.606039191648231,0.00240600934299587
2067,0.588920056014442,0.00265332128377208
2068,0.573201756097424,0.00280272346663672
2069,0.558516148291863,0.00308128930158969
2070,0.545085583520772,0.00343775870371159
2071,0.53238124028554,0.00379655385805248
2072,0.520337223340356,0.00409943320831621
2073,0.509204092773691,0.0045862571595594
2074,0.498751881122025,0.00502218565836526
2075,0.48936993385865,0.0056288746010495
2076,0.480355789525985,0.00622538669170331
2077,0.471777280381888,0.00696418455893834
2078,0.46363962508035,0.00777426041594366
2079,0.455910431073086,0.00851415799200644
2080,0.448439429347151,0.009396553410046
2081,0.441826505552739,0.0103646059797304
2082,0.435126068048373,0.0110992271624012
2083,0.42874490441702,0.0121449194402444
2084,0.422803175444276,0.0133969449163296
2085,0.416961430215922,0.0146813187507704
2086,0.411227995204602,0.0161667016337023
2087,0.405704901784602,0.0175528291461077
2088,0.400573717064649,0.0192694300551939
2089,0.395670771708722,0.02099177986483
2090,0.390888066373731,0.0230166083695972
2091,0.386680984332297,0.0253294272780016
2092,0.3826268390045,0.0275201746414782
2093,0.378802263125387,0.0301679097556443
2094,0.375379384938594,0.033138289974622
2095,0.371973278496761,0.0362499792818115
2096,0.368639180573687,0.0395818223435602
2097,0.365524284358657,0.0428628861184945
2098,0.362752420016451,0.0462862132372308
2099,0.360063075607505,0.0502901241603616
2100,0.357437996852799,0.0544766923182251
